query,positive,negative
¿Comer en exceso es un trastorno alimentario?,"El trastorno de sobrealimentación compulsiva se denomina frecuentemente “adicción a la comida” porque comer puede causar cambios biológicos en su cuerpo que son similares a los causados ​​por sustancias adictivas. Los estudios han encontrado que los alimentos, en particular los ricos en grasas, afectan las áreas de su cerebro asociadas con el placer.",Emetrol es una solución oral diseñada para calmar el estómago cuando las náuseas y los vómitos son causados ​​por una infección viral o bacteriana o por comer en exceso. Emetrol contiene azúcar y ácido fosfórico. Los diabéticos no deben usar Emetrol sin supervisión médica debido al azúcar concentrado.
¿Cuál es el período de espera para los beneficios de compensación para trabajadores en ok?,"Para pagos semanales, el mínimo es $ 30 o el salario real si es menor, y el máximo es $ 342, 50% de SAWW. Para lesiones no programadas, el período máximo de pagos es de 500 semanas y el monto máximo de pago es de $ 171,000. La ley de Oklahoma cubre la desfiguración que es grave y permanente. Los beneficios son un máximo de $ 20,000. Período de espera de compensación para trabajadores de Oklahoma: El período de espera para los beneficios de compensación después de la lesión es de 3 días. Información de contacto de compensación de trabajadores de Oklahoma: Mary Black, Presid. Juez WorkersÃƒÂ ¢ Ã‚â‚¬Ã‚â „¢ Compensation Court 1915 North Stiles Avenue Oklahoma City, OK 73105 (405) 522-8600 (405) 522-8600 o 1-800-522-8210 1-800-522- 8210","Provisto de una póliza de compensación para trabajadores, lo protege si es responsable de una lesión a un empleado por una lesión relacionada con el trabajo que no está cubierta por la ley de compensación para trabajadores. Coberturas adicionales"
cuál es el tiempo de recuperación de la liposucción,"El estiramiento de la piel de la liposucción láser comenzará varias semanas después del procedimiento y continuará durante meses. Así que es aproximadamente en el período de tiempo de 3-4 semanas en el que sabremos dónde se asentará. Sin embargo, la recuperación final de la liposucción puede llevar de 3 a 6 meses.","Recuperación de un accidente cerebrovascular. El accidente cerebrovascular afecta a todos de manera diferente. Muchos supervivientes de accidentes cerebrovasculares continúan mejorando durante mucho tiempo, a veces durante varios años. La recuperación de un accidente cerebrovascular implica realizar cambios en los aspectos físicos, sociales y emocionales de su vida. Hará cambios para prevenir accidentes cerebrovasculares adicionales y para facilitar su recuperación de por vida."
causas de alucinaciones visuales complejas,"Los tumores que se encuentran a lo largo de la vía óptica o la comprimen pueden causar alucinaciones visuales. En una serie de casos, 13 de 59 pacientes con tumores del lóbulo temporal experimentaron alucinaciones visuales. Estas alucinaciones se describen como complejas y pueden involucrar escenas vívidas (incluidas personas que realizan tareas mundanas).","El teatro también cuenta con un complejo sistema de video con 28 proyectores y dos pantallas de 20 pies de alto por 100 pies de ancho, que contribuyen a la experiencia visual. LOVE no es un espectáculo típico del Cirque du Soleil con trapecistas, gimnastas y acróbatas de alto vuelo."
un grupo de electrones se define como,"Grupos de electrones. Al determinar la geometría de las moléculas, el modelo de repulsión de pares de electrones de la capa de valencia, o VSEPR, asume que las repulsiones entre pares de electrones hacen que permanezcan lo más alejados posible. La geometría que finalmente adopta la molécula minimiza la repulsión entre pares de electrones. Al determinar la geometría de las moléculas, el modelo de repulsión de pares de electrones de capa de valencia, o VSEPR, asume que las repulsiones entre pares de electrones hacen que permanezcan lo más alejados posible. La geometría que finalmente adopta la molécula minimiza la repulsión entre pares de electrones.","Los portadores de electrones se reducen durante la glucólisis y el ciclo del ácido cítrico a NADH + H + y FADH2. Estos portadores luego donan electrones y protones a las proteínas portadoras de electrones de la cadena de transporte de electrones. El último aceptor de electrones es el oxígeno. Junto con el oxígeno, los electrones y los protones forman moléculas de agua. Nuestros complejos de proteínas en la membrana mitocondrial interna forman la cadena de transporte de electrones. Estos complejos existen en un orden descendente de energía. Aquí los portadores de electrones vienen para dejar caer toda su carga de electrones y protones que recogieron durante las etapas del ciclo de glucólisis y ácido cítrico."
quien desarrolló el sistema de triaje esi,"Índice de gravedad (ESI) El índice de gravedad de emergencia (ESI) es una escala de clasificación de cinco niveles desarrollada por los médicos de urgencias Richard Wuerz y David Eitel en los Estados Unidos (Gilboy et al., 1999; Wuerz, Milne, Eitel, Travers & Gilboy, 2000). Los dos creadores creían que un papel principal para un instrumento de triaje del departamento de emergencias","Las matemáticas en China surgieron de forma independiente en el siglo XI a. C. Los chinos desarrollaron de forma independiente números muy grandes y negativos, decimales, un sistema decimal de valor posicional, un sistema binario, álgebra, geometría y trigonometría."
¿Qué causa las manchas oscuras alrededor del tallo de los tomates?,Manchas de hongos en las hojas y frutas del tomate I. Hay muchos hongos que causan manchas en las hojas y las frutas de los tomates. Los que se describen aquí son similares en el sentido de que no tienen un crecimiento de hongos obvio ni en las hojas ni en las manchas de la fruta.,"Si los tomates se ven negros en la parte inferior, es probable que estén sufriendo de pudrición del extremo de la flor. La pudrición del extremo de la flor se puede identificar por una decoloración negra u oscura, generalmente con una apariencia empapada de agua. También puede aparecer en pimientos y berenjenas."
cuántos miembros votantes hay en la cámara de representantes,Hay 435 miembros con derecho a voto en la Cámara de Representantes.,"La Cámara de Representantes de Texas tiene 150 miembros. * El Senado de Texas tiene 30 miembros. * Texas tiene 32 escaños en la Cámara de Representantes de EE. UU. Y dos senadores de EE. UU. Hay 435 representantes en la Cámara, en comparación con 100 senadores en el Senado. Este es el número alcanzado cuando se agregaron nuevos asientos en 1913, y el número fue bloqueado por la Ley de Redistribución de 1929. De 1959 a 1963, hubo temporalmente 437 asientos. Hay otros 6 delegados sin derecho a voto."
¿Qué cáncer está simbolizado por una cinta verde?,"Cinta verde: Significado: este color es un símbolo de depresión infantil, niños desaparecidos, registros abiertos para adoptados, preocupaciones ambientales, cáncer de riñón, donación de tejidos / órganos, homeopatía y seguridad para el trabajador y la conducción.","El retículo endoplásmico a menudo se abrevia como ER; por lo tanto, el tipo liso se denota como SER y el tipo rugoso se simboliza como RER. Existen diferencias interesantes en las estructuras y funciones entre estos dos tipos y este artículo resume la mayoría de ellas."
definición de amnistía,La definición de amnistía es el acto de poner en libertad o proteger a una persona o personas del enjuiciamiento por irregularidades. Un ejemplo de amnistía es cuando el gobierno de los Estados Unidos permite la entrada de un ciudadano extranjero para ayudar a proteger a ese ciudadano de ser asesinado en su propio país.,"... amnistía). Los grupos nombrados son: Movimiento de Reforma de Inmigración Justa, Centro para el Cambio Comunitario, Coalición de Inmigración de Nueva York, Casa de Maryland, Iglesias Unidas para Salvar y Sanar y OneAmerica: En la llamada dijeron: Hemos marchado, llamado y enviado por fax. Hemos demostrado una y otra vez que no hay un movimiento más grande que el nuestro."
nos alegramos de la fecha de lanzamiento final,"We Happy Few fecha de lanzamiento para PC (Early Access), Xbox One (Game Preview) 26 de julio de 2016 ¡Hace 8 meses (EE. UU.)! We Happy Few se lanzó para PC (Early Access) y Xbox One (Game Preview) hace 261d en los EE. UU. Y el Reino Unido.","1.9, la primera versión de Combat Update, es una próxima actualización importante de Minecraft sin fecha de lanzamiento establecida.Dinnerbone declaró en mayo que muchas de las características que ha mostrado para 1.9 no son ÃƒÂ ¢ Ã‚â‚¬Ã‚Å “100% finalÃƒÂ ¢ Ã‚â‚¬Ã‚, por lo que las cosas pueden cambiar más adelante. U otras ediciones, consulte Historial de versiones (desambiguación). 1.9, el primer lanzamiento de Combat Update, es una próxima actualización importante de Minecraft sin una fecha de lanzamiento establecida. Dinnerbone ha declarado en mayo que muchas de las características que ha mostrado para 1.9 no son ÃƒÂ ¢ Ã‚â‚¬Ã‚Å “100% finalÃƒÂ ¢ Ã‚â‚¬Ã‚, por lo que las cosas pueden cambiar más adelante."
sinónimos de impresionar,"Sinónimos de impresionado en Free Thesaurus. Antónimos de impresionado. 62 sinónimos de impresionar: emocionar, mover, golpear, tocar, afectar, influir, inspirar, agarrar, asombrar, vencer, agitar, abrumar, asombrar, deslumbrar, influir, asombrar, intimidar. ¿Cuáles son los sinónimos de impresionado?","Sinónimos de hacer un esfuerzo. Los mejores sinónimos de hacer un esfuerzo (solo modismos) son tener un crack, socavar y dar una oportunidad."
¿Qué hace el retículo endoplásmico?,"El retículo endoplásmico es una red de túbulos, vesículas y sacos que están interconectados. Pueden tener funciones especializadas en la célula, incluida la síntesis de proteínas, el secuestro de calcio, la producción de esteroides, el almacenamiento y la producción de glucógeno y la inserción de proteínas de membrana. El retículo endoplásmico (RE) es un orgánulo que aparece en todas las células eucariotas, generalmente alrededor el núcleo. La sala de emergencias está hecha de una serie de membranas que se extienden a través del citoplasma gelatinoso y forman una especie de laberinto.","El retículo endoplásmico a menudo se abrevia como ER; por lo tanto, el tipo liso se denota como SER y el tipo rugoso se simboliza como RER. Existen diferencias interesantes en las estructuras y funciones entre estos dos tipos y este artículo resume la mayoría de ellas."
